slug,title,description
82,"Area in North Sumatra, Indonesia","The majority of the regions habitat is comprised of Sumatran montane rain forests. It also includes areas of Sumatran lowland rain forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 589.18kha located in a mountainous area."
83,"Area in South Lower California, Mexico",The majority of the regions habitat is comprised of Baja California desert. It also includes areas of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.
84,"Area near Cienfuegos, Cuba",The regions habitat is comprised of Cuban dry forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly land area. Area of 1.18Mha located in a predominanty lowland area.
85,"Area near Vietnam, Asia",The majority of the regions habitat is comprised of Northern Indochina subtropical forests. It also includes areas of South China-Vietnam subtropical evergreen forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 7.22Mha located in a predominanty lowland area.
86,"Area near Cuba, North america","The region is made up of different habitats, including Cuban dry forests, and Cuban moist forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly marine area with some land area. Area of 8.96Mha located in a predominanty lowland area."
87,"Area between Nicaragua and Mexico, in North America","The region is made up of different habitats, including Central American pine-oak forests, and Balsas dry forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 50.24Mha located in a mix of lowland and mountainous areas."
88,"Area between D.R. and Haiti, in North America","The region is made up of different habitats, including Hispaniolan moist forests, and Hispaniolan pine forests. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, humid climate. The region is made up of several types of biomes, including Tropical and Subtropical Moist Broadleaf Forests, and Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 4.08Mha located in a predominanty lowland area."
89,"Area near Laos, Asia","The region is made up of different habitats, including Southeast Indochina dry evergreen forests, and Southern Annamites montane rain forests. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 16.64Mha located in a predominanty lowland area."
90,"Area near Mountain Province, Philippines","The majority of the regions habitat is comprised of Luzon rain forests. It also includes areas of Luzon tropical pine forests. This region contains some Intact Forest. The area has a predominantly equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.84Mha located in a mix of lowland and mountainous areas."
91,"Area near Costa Rica, North America","The region is made up of different habitats, including Isthmian-Atlantic moist forests, and Isthmian-Pacific moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 11.56Mha located in a predominanty lowland area."
92,"Area near Colombia, South America","The region is made up of different habitats, including Eastern Cordillera Real montane forests, and Magdalena Valley montane forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 77.74Mha located in a mix of lowland and mountainous areas."
93,"Area near Kerala, India","The region is made up of different habitats, including South Western Ghats moist deciduous forests, and South Western Ghats montane rain forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 3.98Mha located in a predominanty lowland area."
94,"Area near Monagas State, Venezuela","The region is made up of different habitats, including La Costa xeric shrublands, and Araya and Paria xeric scrub. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Deserts and Xeric Shrublands. It also includes areas of Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area."
95,"Area between India and Sri Lanka, in Asia","The majority of the regions habitat is comprised of Sri Lanka dry-zone dry evergreen forests. It also includes areas of Sri Lanka lowland rain forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly land area with some marine area. Area of 5.78Mha located in a predominanty lowland area."
96,"Area between Malaysia and Indonesia, in Asia","The region is made up of different habitats, including Borneo montane rain forests, and Sunda Shelf mangroves. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 5.11Mha located in a predominanty lowland area."
97,"Area near Malaysia, Asia","The regions habitat is comprised of Peninsular Malaysian rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 15.31Mha located in a predominanty lowland area."
98,"Area between West Sumatra and Riau, Indonesia","The regions habitat is comprised of Sumatran lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area."
99,"Area between Kenya and Tanzania, in Africa","The region is made up of different habitats, including Dry miombo woodlands, and Northern Acacia-Commiphora bushlands and thickets. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Grasslands, Savannas and Shrublands. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 8.49Mha located in a predominanty lowland area."
100,"Area near Hela, Papua New Guinea","The regions habitat is comprised of Central Range Papuan montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a mountainous area."
101,"Area near Central, Papua New Guinea","The regions habitat is comprised of Southeast Papuan rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.84Mha located in a mix of lowland and mountainous areas."
102,"Area near Pasco, Peru",The majority of the regions habitat is comprised of Peruvian Yungas. It also includes areas of Central Andean wet puna. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with high humidity and warm summers. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 3.52Mha located in a mountainous area.
103,"Area between Madagascar and Comoros, in Africa","The region is made up of different habitats, including Madagascar subhumid forests, and Madagascar humid forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Deserts and Xeric Shrublands. The location is predominantly land area. Area of 33.86Mha located in a mix of lowland and mountainous areas."
104,"Area between Apurímac and Cusco, Peru",The majority of the regions habitat is comprised of Peruvian Yungas. It also includes areas of Central Andean wet puna. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of warm and temperate climate with dry winters and cool summers. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 591.02kha located in a mountainous area.
105,"Area in Queensland, Australia","The majority of the regions habitat is comprised of Einasleigh upland savanna. It also includes areas of Cape York Peninsula tropical savanna. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 4.70Mha located in a predominanty lowland area."
106,"Area near France, Europe",The majority of the regions habitat is comprised of New Caledonia rain forests. It also includes areas of New Caledonia dry forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is mostly marine area with a large proportion of land area. Area of 2.33Mha located in a predominanty lowland area.
107,"Area between Argentina and Chile, in South America",The majority of the regions habitat is comprised of High Monte. It also includes areas of Central Andean puna. This region has no Intact Forest. The most common environmental conditions of the area are arid desert climate with cold temperatures. It is part of the Montane Grasslands and Shrublands biome. The location is predominantly land area. Area of 9.77Mha located in a mountainous area.
108,"Area between Argentina and Chile, in South America","The region is made up of different habitats, including Patagonian steppe, and Southern Andean steppe. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry summers. It also has areas of polar tundra climate. The region is made up of several types of biomes, including Temperate Grasslands, Savannas and Shrublands, and Montane Grasslands and Shrublands. The location is predominantly land area. Area of 11.06Mha located in a mountainous area."
109,"Area between Western Cape and Northern Cape, RSA","The majority of the regions habitat is comprised of Succulent Karoo xeric shrublands. It also includes areas of Fynbos shrubland. This region has no Intact Forest. The majority of the region has semi-arid climate with cold temperatures. It also has areas of semi-arid climate with hot temperatures. The majority of the region is comprised of Deserts and Xeric Shrublands. It also includes areas of Mediterranean Forests, Woodlands and Scrub. The location is predominantly land area. Area of 543.80kha located in a predominanty lowland area."
110,"Area in Menabe, Madagascar",The regions habitat is comprised of Madagascar dry deciduous forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of semi-arid climate with hot temperatures. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 588.44kha located in a predominanty lowland area.
111,"Area in Papua, Indonesia","The majority of the regions habitat is comprised of Central Range Papuan montane rain forests. It also includes areas of Papuan Central Range sub-alpine grasslands. This region contains Intact Forest. The area has a predominantly equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 580.73kha located in a mountainous area."
112,"Area in North Sumatra, Indonesia","The majority of the regions habitat is comprised of Sumatran montane rain forests. It also includes areas of Sumatran lowland rain forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 566.31kha located in a mountainous area."
113,"Area between Centre and Littoral, Cameroon","The majority of the regions habitat is comprised of Cross-Sanaga-Bioko coastal forests. It also includes areas of Congolian coastal forests. This region contains some Intact Forest. The area has a predominantly equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.21Mha located in a predominanty lowland area."
114,"Area near Northern Mindanao, Philippines","The majority of the regions habitat is comprised of Mindanao-Eastern Visayas rain forests. It also includes areas of Mindanao montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 1.16Mha located in a predominanty lowland area."
115,"Marine area between South Lower California and Baja California, Mexico",The regions habitat is comprised of Baja California desert. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly marine area with some land area. Area of 613.22kha located in a predominanty lowland area.
116,"Marine area in Mulegé, South Lower California, Mexico",The regions habitat is comprised of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly marine area with some land area. Area of 607.23kha located in a predominanty lowland area.
117,"Area in Ensenada, Baja California, Mexico",The regions habitat is comprised of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with a large proportion of marine area. Area of 615.39kha located in a predominanty lowland area.
118,"Marine area near Masbate, Philippines","The regions habitat is comprised of Greater Negros-Panay rain forests. This region has no Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly marine area. Area of 546.45kha located in a lowland area."
119,"Area between Southwest and Littoral, Cameroon","The majority of the regions habitat is comprised of Cameroon Highlands forests. It also includes areas of Cross-Sanaga-Bioko coastal forests. This region contains some Intact Forest. The area has a predominantly equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 606.65kha located in a predominanty lowland area."
120,"Area in Bolivar State, Venezuela","The majority of the regions habitat is comprised of Guianan piedmont moist forests. It also includes areas of Guianan Highlands moist forests. This region contains a large amount of Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 590.77kha located in a predominanty lowland area."
121,"Area near Granma, Cuba",The majority of the regions habitat is comprised of Cuban dry forests. It also includes areas of Cuban moist forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly land area with some marine area. Area of 1.74Mha located in a predominanty lowland area.
122,"Area near Vietnam, Asia",The regions habitat is comprised of Northern Indochina subtropical forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a mix of lowland and mountainous areas.
123,"Area near Puebla, Mexico","The region is made up of different habitats, including Balsas dry forests, and Trans-Mexican Volcanic Belt pine-oak forests. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with dry winters and warm summers. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 15.28Mha located in a mountainous area."
124,"Area near Baoruco, D.R.","The region is made up of different habitats, including Hispaniolan dry forests, and Hispaniolan pine forests. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of warm and temperate climate with high humidity and warm summers. The region is made up of several types of biomes, including Tropical and Subtropical Dry Broadleaf Forests, and Tropical and Subtropical Coniferous Forests. The location is mostly land area with some marine area. Area of 1.18Mha located in a predominanty lowland area."
125,"Area near Guatemala, North America","The region is made up of different habitats, including Central American pine-oak forests, and Petén-Veracruz moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The region is made up of several types of biomes, including Tropical and Subtropical Moist Broadleaf Forests, and Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 12.07Mha located in a mix of lowland and mountainous areas."
126,"Area near Vietnam, Asia","The region is made up of different habitats, including Southeast Indochina dry evergreen forests, and Southern Annamites montane rain forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of warm and temperate climate with dry winters and hot summers. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 2.29Mha located in a mix of lowland and mountainous areas."
127,"Area near Costa Rica, North America","The region is made up of different habitats, including Isthmian-Atlantic moist forests, and Isthmian-Pacific moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 14.01Mha located in a predominanty lowland area."
128,"Area near Kerala, India","The region is made up of different habitats, including South Western Ghats montane rain forests, and South Western Ghats moist deciduous forests. This region has no Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 5.92Mha located in a predominanty lowland area."
129,"Area near Peru, South America","The region is made up of different habitats, including Peruvian Yungas, and Ucayali moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 134.22Mha located in a mix of lowland and mountainous areas."
130,"Area near Central Province, Sri Lanka","The majority of the regions habitat is comprised of Sri Lanka dry-zone dry evergreen forests. It also includes areas of Sri Lanka lowland rain forests. This region has no Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 3.47Mha located in a predominanty lowland area."
131,"Area between Guyana and Venezuela, in South America","The region is made up of different habitats, including Guianan Highlands moist forests, and Guianan savanna. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 7.62Mha located in a mix of lowland and mountainous areas."
132,"Area near Cameroon, Africa","The region is made up of different habitats, including Cross-Sanaga-Bioko coastal forests, and Cameroon Highlands forests. This region contains some Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 8.16Mha located in a predominanty lowland area."
133,"Area between Indonesia and Malaysia, in Asia","The majority of the regions habitat is comprised of Borneo montane rain forests. It also includes areas of Borneo lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 4.01Mha located in a predominanty lowland area."
134,"Area between Venezuela and Brazil, in South America","The region is made up of different habitats, including Guianan Highlands moist forests, and Guianan piedmont moist forests. This region contains a large amount of Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.18Mha located in a mix of lowland and mountainous areas."
135,"Area between Johor and Pahang, Malaysia","The regions habitat is comprised of Peninsular Malaysian rain forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 590.72kha located in a predominanty lowland area."
136,"Area between Papua New Guinea and Indonesia, in Oceania","The region is made up of different habitats, including Central Range Papuan montane rain forests, and Southeast Papuan rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 33.81Mha located in a mix of lowland and mountainous areas."
137,"Area between Tanzania and Kenya, in Africa","The region is made up of different habitats, including Dry miombo woodlands, and Southern Acacia-Commiphora bushlands and thickets. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 9.14Mha located in a mix of lowland and mountainous areas."
138,"Area between Anosy and Alaotra-Mangoro, Madagascar","The region is made up of different habitats, including Madagascar subhumid forests, and Madagascar humid forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 28.09Mha located in a mix of lowland and mountainous areas."
139,"Area in Bahia, Brazil",The majority of the regions habitat is comprised of Bahia coastal forests. It also includes areas of Bahia interior forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of semi-arid climate with hot temperatures. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.32Mha located in a predominanty lowland area.
140,"Area near Minas Gerais, Brazil","The region is made up of different habitats, including Bahia interior forests, and Serra do Mar coastal forests. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with high humidity and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 30.86Mha located in a mix of lowland and mountainous areas."
141,"Area in Santa Catarina, Brazil",The majority of the regions habitat is comprised of Araucaria moist forests. It also includes areas of Serra do Mar coastal forests. This region has no Intact Forest. The majority of the region has warm and temperate climate with high humidity and warm summers. It also has areas of warm and temperate climate with high humidity and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 606.45kha located in a mix of lowland and mountainous areas.
142,"Area in Queensland, Australia","The majority of the regions habitat is comprised of Einasleigh upland savanna. It also includes areas of Cape York Peninsula tropical savanna. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 1.73Mha located in a predominanty lowland area."
143,"Area between India and China, in Asia","The region is made up of different habitats, including Eastern Himalayan broadleaf forests, and Eastern Himalayan alpine shrub and meadows. This region contains Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of warm and temperate climate with dry winters and hot summers. The region is made up of several types of biomes, including Temperate Broadleaf and Mixed Forests, and Temperate Conifer Forests. The location is predominantly land area. Area of 1.74Mha located in a mountainous area."
144,"Area in Sichuan, PRC",The majority of the regions habitat is comprised of Qionglai-Minshan conifer forests. It also includes areas of Hengduan Mountains subalpine conifer forests. This region contains some Intact Forest. The area has a predominantly warm and temperate climate with dry winters and warm summers. It is part of the Temperate Conifer Forests biome. The location is predominantly land area. Area of 1.72Mha located in a mountainous area.
145,"Area between DR Congo and Rwanda, in Africa",The regions habitat is comprised of Albertine Rift montane forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a mountainous area.
146,"Area near Myanmar, Asia","The region is made up of different habitats, including Northern Triangle temperate forests, and Eastern Himalayan alpine shrub and meadows. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of warm and temperate climate with dry winters and cool summers. The region is made up of several types of biomes, including Temperate Broadleaf and Mixed Forests, and Montane Grasslands and Shrublands. The location is predominantly land area. Area of 1.15Mha located in a mountainous area."
147,"Area near Vietnam, Asia",The majority of the regions habitat is comprised of Northern Indochina subtropical forests. It also includes areas of South China-Vietnam subtropical evergreen forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 5.94Mha located in a predominanty lowland area.
148,"Area between Jalisco and Nayarit, Mexico","The region is made up of different habitats, including Sinaloan dry forests, and Jalisco dry forests. This region has no Intact Forest. The most common environmental conditions of the area are warm and temperate climate with dry winters and hot summers. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 589.62kha located in a mix of lowland and mountainous areas."
149,"Area between Cuba and Jamaica, in North America","The majority of the regions habitat is comprised of Cuban dry forests. It also includes areas of Jamaican moist forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly marine area with some land area. Area of 5.82Mha located in a predominanty lowland area."
150,"Area between Nicaragua and Mexico, in North America","The region is made up of different habitats, including Central American pine-oak forests, and Balsas dry forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 45.46Mha located in a mix of lowland and mountainous areas."
151,"Area between D.R. and Haiti, in North America","The region is made up of different habitats, including Hispaniolan moist forests, and Hispaniolan pine forests. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, humid climate. The region is made up of several types of biomes, including Tropical and Subtropical Moist Broadleaf Forests, and Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 3.48Mha located in a predominanty lowland area."
152,"Area between Laos and Thailand, in Asia","The regions habitat is comprised of Northern Annamites rain forests. This region contains some Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.89Mha located in a predominanty lowland area."
153,"Area near Costa Rica, North America","The region is made up of different habitats, including Isthmian-Atlantic moist forests, and Isthmian-Pacific moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 15.14Mha located in a predominanty lowland area."
154,"Area near Vietnam, Asia","The majority of the regions habitat is comprised of Southeast Indochina dry evergreen forests. It also includes areas of Southern Annamites montane rain forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 5.21Mha located in a predominanty lowland area."
155,"Area near Bukidnon, Philippines","The majority of the regions habitat is comprised of Mindanao montane rain forests. It also includes areas of Mindanao-Eastern Visayas rain forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 590.43kha located in a mix of lowland and mountainous areas."
156,"Area near Peru, South America","The region is made up of different habitats, including Peruvian Yungas, and Magdalena Valley montane forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 148.38Mha located in a mix of lowland and mountainous areas."
157,"Area near Kerala, India","The region is made up of different habitats, including South Western Ghats moist deciduous forests, and South Western Ghats montane rain forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.89Mha located in a predominanty lowland area."
158,"Area between Monagas State and Sucre State, Venezuela","The region is made up of different habitats, including Llanos, and La Costa xeric shrublands. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. The region is made up of several types of biomes, including Tropical and Subtropical Grasslands, Savannas and Shrublands, and Deserts and Xeric Shrublands. The location is predominantly land area. Area of 590.36kha located in a predominanty lowland area."
159,"Area between India and Sri Lanka, in Asia","The majority of the regions habitat is comprised of Sri Lanka dry-zone dry evergreen forests. It also includes areas of Sri Lanka lowland rain forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 5.17Mha located in a predominanty lowland area."
160,"Area between Malaysia and Indonesia, in Asia","The majority of the regions habitat is comprised of Borneo lowland rain forests. It also includes areas of Borneo montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 6.47Mha located in a predominanty lowland area."
